codigo,produto,preço
1,Mouse Logitech G203,120
2,Teclado Mecânico HyperX Alloy,350
3,Monitor Samsung 24'',850
4,Headset Razer Kraken,299
5,Notebook Dell Inspiron 15,4500
6,SSD Kingston 1TB,400
7,Placa de Vídeo RTX 3060,2500
8,Processador Intel i7 10700K,1700
9,Memória RAM Corsair 16GB,350
10,Mousepad Gamer XXL,75
11,Webcam Logitech C920,550
12,Cadeira Gamer DXRacer,1500
13,Fonte Corsair 750W,450
14,Placa Mãe ASUS B450M,700
15,Monitor LG Ultrawide 29'',1200
16,Microfone Blue Yeti,700
17,Cabo HDMI 2.0 1.5m,30
18,Hub USB 3.0 4 Portas,80
19,Carregador Universal de Notebook,150
20,Teclado sem fio Logitech K380,180
